date,model,jcd,rno,p,high,y,hit
20260812,m8-v1-pm,24,7,0.0984,false,0,
20260812,m8-v1-pm,20,5,0.0984,false,0,
20260812,m8-v1-pm,20,12,0.0984,false,0,
20260812,m8-v1-pm,21,12,0.0725,false,0,
20260812,m8-v1-pm,19,12,0.0725,false,0,
20260812,m8-v1-pm,13,11,0.0725,false,0,
20260812,m8-v1-pm,19,7,0.0725,false,0,
20260812,m8-v1-pm,02,7,0.0725,false,0,
20260812,m8-v1-pm,23,2,0.0549,false,0,
20260812,m8-v1-pm,01,8,0.0549,false,0,
20260812,m8-v1-pm,20,4,0.0549,false,0,
20260812,m8-v1-pm,07,9,0.0549,false,0,
20260812,m8-v1-pm,13,12,0.0549,false,0,
20260812,m8-v1-pm,08,6,0.0549,false,0,
20260812,m8-v1-pm,01,12,0.0549,false,0,
20260812,m8-v1-pm,23,10,0.0549,false,1,
20260812,m8-v1-pm,06,11,0.0549,false,0,
20260812,m8-v1-pm,13,10,0.0549,false,0,
20260812,m8-v1-pm,02,9,0.0549,false,0,
20260812,m8-v1-pm,01,6,0.0549,false,0,
20260812,m8-v1-pm,06,4,0.0549,false,0,
20260812,m8-v1-pm,07,10,0.0549,false,0,
20260812,m8-v1-pm,23,11,0.0549,false,0,
20260812,m8-v1-pm,16,7,0.0549,false,0,
20260812,m8-v1-pm,16,12,0.0549,false,0,
20260812,m8-v1-pm,22,1,0.0549,false,0,
20260812,m8-v1-pm,16,8,0.0549,false,1,
20260812,m8-v1-pm,23,3,0.018,false,0,
20260812,m8-v1-pm,21,5,0.0139,false,0,
20260812,m8-v1-pm,16,11,0.0139,false,0,
20260812,m8-v1-pm,19,11,0.0139,false,0,
20260812,m8-v1-pm,04,2,0.0139,false,0,
20260812,m8-v1-pm,08,5,0.0,false,0,
20260812,m8-v1-pm,23,12,0.0,false,0,
20260812,m8-v1-pm,23,1,0.0,false,0,
20260813,m8-v1-am,04,7,0.6,true,0,0
20260813,m8-v1-am,06,1,0.5928,true,1,1
20260813,m8-v1-am,04,3,0.5765,true,0,0
20260813,m8-v1-am,02,6,0.4947,false,0,
20260813,m8-v1-am,02,8,0.4671,false,1,
20260813,m8-v1-am,07,3,0.4671,false,1,
20260813,m8-v1-am,01,2,0.4671,false,1,
20260813,m8-v1-am,03,7,0.4671,false,0,
20260813,m8-v1-am,07,6,0.4671,false,0,
20260813,m8-v1-am,08,2,0.4671,false,1,
20260813,m8-v1-am,03,4,0.4085,false,0,
20260813,m8-v1-am,12,3,0.4085,false,0,
